# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon May 30 01:49:21 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_bmassprov,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,sy_dist
HATS-46 b,HATS-46,1,1,Transit,2018,4.74237290,10.122,54.98459,Mass,0.559000,,5495.00,0.85,0.92,-0.060,[Fe/H],453.8080000
HATS-47 b,HATS-47,1,1,Transit,2020,3.92280380,12.520,117.27927,Mass,0.088000,,4512.00,0.66,0.67,-0.113,[Fe/H],300.6700000
HATS-48 A b,HATS-48 A,2,1,Transit,2020,3.13166660,8.967,77.23269,Mass,0.162000,,4546.00,0.72,0.73,0.186,[Fe/H],263.6090000
HATS-49 b,HATS-49,1,1,Transit,2020,4.14804670,8.575,112.19399,Mass,0.071000,,4405.00,0.70,0.71,0.208,[Fe/H],324.4130000
HATS-5 b,HATS-5,1,1,Transit,2014,4.76338700,10.223,75.32300,Mass,0.019000,G,5304.00,0.87,0.94,0.190,[Fe/H],246.3840000
HATS-50 b,HATS-50,1,1,Transit,2017,3.82970150,12.666,123.95370,Mass,0.516000,,5990.00,1.12,1.17,,,756.7420000
HATS-51 b,HATS-51,1,1,Transit,2017,3.34887020,15.805,244.09344,Mass,0.330000,,5758.00,1.44,1.19,,,389.5700000
HATS-52 b,HATS-52,1,1,Transit,2017,1.36665436,15.491,711.93920,Mass,0.246000,,6010.00,1.05,1.11,-0.284,[M/H],555.1340000
HATS-53 b,HATS-53,1,1,Transit,2017,3.85377680,15.020,189.10885,Mass,0.330000,,5644.00,1.10,0.96,,,585.7700000
HATS-54 b,HATS-54,1,1,Transit,2019,2.54418280,11.960,241.55080,Mass,0.126000,,5702.00,1.32,1.10,0.396,[Fe/H],748.5850000
HATS-55 b,HATS-55,1,1,Transit,2019,4.20420010,14.022,292.72143,Mass,0.092000,,6214.00,1.13,1.20,0.108,[Fe/H],609.8380000
HATS-56 b,HATS-56,1,1,Transit,2019,4.32479900,18.921,191.33366,Mass,0.019000,,6536.00,2.20,1.57,0.190,[Fe/H],564.4090000
HATS-57 b,HATS-57,1,1,Transit,2019,2.35062100,12.767,1000.21101,Mass,0.028000,,5587.00,0.96,1.03,0.268,[Fe/H],279.4850000
HATS-58 A b,HATS-58 A,2,1,Transit,2019,4.21808960,12.274,327.36490,Mass,0.168000,,7175.00,1.43,1.46,,,403.5910000
HATS-59 b,HATS-59,1,2,Transit,2018,5.41608100,12.621,256.17098,Mass,0.129000,,5670.00,1.04,1.04,0.180,[Fe/H],642.8840000
HATS-59 c,HATS-59,1,2,Radial Velocity,2018,1422.00000000,12.300,4036.44100,Msini,0.083000,,5670.00,1.04,1.04,0.180,[Fe/H],642.8840000
HATS-6 b,HATS-6,1,1,Transit,2015,3.32527250,11.187,101.38777,Mass,0.000000,M1 V,3724.00,0.57,0.57,0.200,[Fe/H],169.3180000
HATS-60 b,HATS-60,1,1,Transit,2018,3.56082900,12.924,210.40346,Mass,0.191000,,5688.00,1.46,1.10,0.335,[Fe/H],486.4740000
HATS-61 b,HATS-61,1,1,Transit,2018,7.81795300,13.395,1080.62200,Mass,0.092000,,5542.00,1.66,1.08,0.247,[Fe/H],679.7610000
HATS-62 b,HATS-62,1,1,Transit,2018,3.27688370,11.825,56.89157,Mass,0.298000,,5416.00,0.93,0.90,0.133,[Fe/H],523.0670000
HATS-63 b,HATS-63,1,1,Transit,2018,3.05665270,13.529,305.11680,Mass,0.136000,,5627.00,1.07,0.93,0.081,[Fe/H],623.2320000
HATS-64 b,HATS-64,1,1,Transit,2018,4.90889700,18.820,305.11680,Mass,0.151000,,6554.00,2.11,1.56,0.220,[Fe/H],1080.1500000
HATS-65 b,HATS-65,2,1,Transit,2018,3.10516100,16.825,260.93843,Mass,0.062000,,6277.00,1.31,1.26,0.199,[Fe/H],493.3200000
HATS-66 b,HATS-66,1,1,Transit,2018,3.14143910,15.816,1694.03390,Mass,0.064000,,6626.00,1.84,1.41,-0.017,[Fe/H],1477.9800000
HATS-67 b,HATS-67,1,1,Transit,2018,1.60917880,18.887,460.85350,Mass,0.057000,,6594.00,1.44,1.44,0.332,[Fe/H],960.1090000
HATS-68 b,HATS-68,1,1,Transit,2018,3.58622020,13.809,410.00070,Mass,0.036000,,6147.00,1.75,1.35,0.210,[Fe/H],603.9550000
HATS-69 b,HATS-69,1,1,Transit,2018,2.22525770,10.593,183.38791,Mass,0.519000,,5137.00,0.88,0.89,0.377,[Fe/H],414.5370000
HATS-7 b,HATS-7,1,1,Transit,2015,3.18531500,6.311,38.13960,Mass,0.170000,K2,4985.00,0.82,0.85,0.250,[Fe/H],240.7070000
HATS-70 b,HATS-70,1,1,Transit,2019,1.88823780,15.513,4100.00700,Mass,0.180000,,7930.00,1.88,1.78,0.041,[Fe/H],1458.8300000
HATS-71 b,HATS-71,1,1,Transit,2020,3.79552020,11.478,117.59710,Mass,0.000000,M3 V,3405.00,0.48,0.49,0.170,[Fe/H],140.2250000
HATS-72 b,HATS-72,1,1,Transit,2020,7.32794740,8.097,39.85588,Mass,0.013000,,4656.10,0.72,0.73,0.099,[Fe/H],127.5890000
HATS-74 A b,HATS-74 A,2,1,Transit,2021,1.73185606,11.568,464.02947,Mass,0.044000,,3776.90,0.58,0.60,0.514,[Fe/H],299.3890000
HATS-75 b,HATS-75,1,1,Transit,2021,2.78865560,9.909,156.05375,Mass,0.064000,,3790.40,0.58,0.60,0.522,[Fe/H],194.9640000
HATS-76 b,HATS-76,1,1,Transit,2021,1.94164230,12.094,835.57088,Mass,0.062000,,4016.00,0.63,0.66,0.322,[Fe/H],385.6890000
HATS-77 b,HATS-77,1,1,Transit,2021,3.08762620,13.058,436.69623,Mass,0.045000,,4071.00,0.64,0.66,0.253,[Fe/H],436.1760000
HATS-8 b,HATS-8,1,1,Transit,2015,3.58389300,9.785,43.86054,Mass,0.376000,,5679.00,1.09,1.06,0.210,[Fe/H],794.6370000
HATS-9 b,HATS-9,1,1,Transit,2015,1.91529100,13.850,266.02371,Mass,0.075000,,5599.00,1.56,1.10,0.380,[Fe/H],638.7000000
HD 100546 b,HD 100546,1,1,Imaging,2014,,77.342,239000.00000,M-R relationship,,B9 Vne,10500.00,1.85,2.40,,,109.6770000
HD 100655 b,HD 100655,2,1,Radial Velocity,2011,157.57001000,13.500,511.70630,Msini,0.090000,G9 III,4891.00,10.06,2.28,0.070,[Fe/H],137.1780000
HD 100777 b,HD 100777,1,1,Radial Velocity,2007,383.70001000,13.800,327.36490,Msini,0.360000,G8 V,5533.00,1.04,0.83,0.250,[Fe/H],49.5336000
HD 10180 c,HD 10180,1,6,Radial Velocity,2010,5.75969000,3.680,13.10000,Msin(i)/sin(i),0.073000,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],38.9607000
HD 10180 d,HD 10180,1,6,Radial Velocity,2010,16.35700000,3.450,11.75000,Msin(i)/sin(i),0.131000,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],38.9607000
HD 10180 e,HD 10180,1,6,Radial Velocity,2010,49.74800000,5.390,25.10000,Msin(i)/sin(i),0.051000,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],38.9607000
HD 10180 f,HD 10180,1,6,Radial Velocity,2010,122.74400000,5.240,23.90000,Msin(i)/sin(i),0.119000,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],38.9607000
HD 10180 g,HD 10180,1,6,Radial Velocity,2010,604.67000000,4.910,21.40000,Msin(i)/sin(i),0.263000,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],38.9607000
HD 10180 h,HD 10180,1,6,Radial Velocity,2010,2205.00000000,9.400,64.40000,Msin(i)/sin(i),0.095000,G1 V,5911.00,1.11,1.06,0.080,[Fe/H],38.9607000
HD 101930 b,HD 101930,2,1,Radial Velocity,2005,70.46000000,10.600,79.45750,Msini,0.110000,K1 V,5108.00,0.86,0.57,0.150,[Fe/H],30.0274000
HD 102117 b,HD 102117,1,1,Radial Velocity,2005,20.81330000,8.470,54.03110,Msini,0.120000,G6 V,5655.00,1.23,1.06,0.280,[Fe/H],39.5792000
HD 102195 b,HD 102195,1,1,Radial Velocity,2006,4.11377000,14.200,130.31030,Msini,0.000000,K0 V,5301.00,0.82,0.76,0.040,[Fe/H],29.3386000
HD 102272 b,HD 102272,1,1,Radial Velocity,2008,127.58000000,12.900,1570.08020,Msini,0.050000,K0,4790.00,10.30,1.45,-0.410,[Fe/H],347.0970000
HD 102329 b,HD 102329,1,2,Radial Velocity,2011,778.09998000,12.600,2593.49280,Msini,0.210000,K0 III,4745.00,9.82,3.21,0.050,[Fe/H],217.1070000
HD 102329 c,HD 102329,1,2,Radial Velocity,2018,1123.00000000,13.500,483.10160,Msini,0.209000,K0 III,4830.00,6.30,1.30,0.300,[Fe/H],217.1070000
HD 102365 b,HD 102365,2,1,Radial Velocity,2010,122.10000000,4.140,16.00000,Msini,0.340000,G3/5V,5630.00,0.95,0.85,-0.260,[Fe/H],9.2894000
HD 102843 b,HD 102843,1,1,Radial Velocity,2019,3090.94200000,13.100,113.90000,Msini,0.110000,K0 V,5436.00,0.96,0.95,0.160,[M/H],62.7580000
HD 102956 b,HD 102956,2,1,Radial Velocity,2010,6.49470000,13.800,305.11680,Msini,0.037000,G5,4985.00,4.55,1.66,0.190,[Fe/H],121.8900000
HD 103197 b,HD 103197,1,1,Radial Velocity,2009,47.84000000,5.830,28.60470,Msini,0.000000,K1 V(P),5250.00,0.88,0.80,0.220,[Fe/H],57.1463000
HD 103720 b,HD 103720,1,1,Radial Velocity,2014,4.55570000,14.100,197.04600,Msini,0.086000,K3 V,5017.00,0.73,0.79,-0.020,[Fe/H],45.5352000
HD 103774 b,HD 103774,2,1,Radial Velocity,2013,5.88810000,13.300,116.00000,Msini,0.090000,F5 V,6489.00,1.58,1.33,0.280,[Fe/H],56.4089000
HD 103891 b,HD 103891,1,1,Radial Velocity,2022,1919.00000000,13.600,457.67291,Msini,0.310000,F9,6072.00,2.22,1.28,-0.190,[Fe/H],55.5213000
HD 103949 b,HD 103949,1,1,Radial Velocity,2019,120.87800000,3.350,11.20000,Msini,0.190000,K3 V,4792.00,0.75,0.77,-0.070,[M/H],26.4997000
HD 104067 b,HD 104067,1,1,Radial Velocity,2009,55.80600000,8.180,50.85280,Msini,0.000000,K2 V,4937.00,0.74,0.62,0.000,[Fe/H],20.3632000
HD 10442 b,HD 10442,1,1,Radial Velocity,2014,1032.30000000,13.600,472.61321,Msini,0.132000,K0 IV,4912.00,1.97,1.01,0.110,[Fe/H],135.3740000
HD 104985 b,HD 104985,1,1,Radial Velocity,2003,199.50500000,12.600,2637.90000,Msini,0.090000,G9 III,4877.00,11.00,2.30,-0.150,[Fe/H],100.5760000
HD 105779 b,HD 105779,1,1,Radial Velocity,2022,2412.00000000,14.100,203.41018,Msini,0.000000,G2,5792.00,0.94,0.89,-0.250,[Fe/H],55.2411000
HD 106252 b,HD 106252,1,1,Radial Velocity,2002,1531.00000000,12.700,2202.56190,Msini,0.480000,G0,5874.00,1.10,1.01,-0.060,[Fe/H],38.1850000
HD 106270 b,HD 106270,1,1,Radial Velocity,2011,1888.00000000,12.500,3219.61790,Msini,0.185000,G5 IV,5509.00,2.66,1.39,0.080,[Fe/H],93.8080000
HD 106315 b,HD 106315,1,2,Transit,2017,9.55237000,2.440,12.60000,Mass,0.093000,F5 V,6327.00,1.30,1.09,-0.311,[Fe/H],109.3530000
HD 106315 c,HD 106315,1,2,Transit,2017,21.05704000,4.350,15.20000,Mass,0.220000,F5 V,6327.00,1.30,1.09,-0.311,[Fe/H],109.3530000
HD 10647 b,HD 10647,1,1,Radial Velocity,2006,989.20000000,13.800,298.75000,Msini,0.150000,F9 V,6218.00,1.10,1.11,0.000,[Fe/H],17.3357000
HD 106515 A b,HD 106515 A,2,1,Radial Velocity,2012,3630.00000000,12.500,3054.22000,Msini,0.572000,G5,5362.00,1.62,0.97,0.030,[Fe/H],34.0915000
HD 106906 b,HD 106906,1,1,Imaging,2013,,12.400,3496.00000,Mass,,F5 V,6516.00,2.12,1.50,0.040,[Fe/H],103.0290000
HD 10697 b,HD 10697,1,1,Radial Velocity,1999,1075.69000000,12.700,2028.70889,Msini,0.104300,G5 IV,5600.00,1.79,1.13,0.170,[Fe/H],33.1205000
HD 107148 b,HD 107148,2,2,Radial Velocity,2005,48.05600000,9.600,66.74100,Msini,0.050000,G5 V,5797.00,1.17,1.12,0.314,[Fe/H],49.4156000
HD 107148 c,HD 107148,2,2,Radial Velocity,2021,18.32670000,4.700,19.89606,Msini,0.340000,G5 V,5752.92,1.17,1.11,0.296,[Fe/H],49.4156000
HD 108147 b,HD 108147,1,1,Radial Velocity,2002,10.89850000,10.900,82.95000,Msini,0.530000,F8 V CH+0.4,6255.73,1.21,1.22,0.180,[M/H],38.9200000
HD 108236 b,HD 108236,1,5,Transit,2020,3.79596300,1.615,3.24000,M-R relationship,0.045000,G3 V,5660.00,0.88,0.87,-0.280,[Fe/H],64.5978000
HD 108236 c,HD 108236,1,5,Transit,2020,6.20344900,2.071,4.94000,M-R relationship,0.034000,G3 V,5660.00,0.88,0.87,-0.280,[Fe/H],64.5978000
HD 108236 d,HD 108236,1,5,Transit,2020,14.17568500,2.539,6.98000,M-R relationship,0.055000,G3 V,5660.00,0.88,0.87,-0.280,[Fe/H],64.5978000
HD 108236 e,HD 108236,1,5,Transit,2020,19.59002500,3.083,9.71000,M-R relationship,0.058000,G3 V,5660.00,0.88,0.87,-0.280,[Fe/H],64.5978000
HD 108236 f,HD 108236,1,5,Transit,2021,29.54115000,2.017,4.72000,M-R relationship,0.051000,G3 V,5660.00,0.88,0.87,-0.280,[Fe/H],64.5978000
HD 108341 b,HD 108341,2,1,Radial Velocity,2014,1129.00000000,13.100,1112.40000,Msini,0.850000,K2 V,5122.00,0.79,0.84,0.040,[Fe/H],48.9102000
HD 108863 b,HD 108863,1,1,Radial Velocity,2011,437.70000000,13.300,767.24162,Msini,0.032000,K0,4878.00,5.74,1.59,0.200,[Fe/H],164.7420000
HD 108874 b,HD 108874,1,2,Radial Velocity,2002,394.48123000,13.600,451.31860,Msini,0.130000,G5,5600.00,1.05,1.10,0.260,[Fe/H],59.5175000
HD 108874 c,HD 108874,1,2,Radial Velocity,2005,1624.00000000,13.800,314.64000,Msini,0.239000,G5,5551.00,1.09,0.95,0.190,[Fe/H],59.5175000
HD 109246 b,HD 109246,1,1,Radial Velocity,2010,68.27000000,13.900,273.33380,Msini,0.120000,G0 V,5844.00,1.07,1.20,0.100,[Fe/H],67.8349000
HD 109271 b,HD 109271,1,2,Radial Velocity,2013,7.85430000,4.310,17.16200,Msini,0.250000,G5 V,5783.00,1.29,1.05,0.100,[Fe/H],55.8716000
HD 109271 c,HD 109271,1,2,Radial Velocity,2013,30.93000000,5.270,24.15400,Msini,0.150000,G5 V,5783.00,1.29,1.05,0.100,[Fe/H],55.8716000
HD 109286 b,HD 109286,1,1,Radial Velocity,2021,520.10000000,13.200,950.30694,Msini,0.338000,G4 V,5694.00,1.09,0.98,0.050,[Fe/H],55.4156000
HD 109749 b,HD 109749,2,1,Radial Velocity,2005,5.23989100,11.100,85.81410,Msini,0.000000,G3 V,5824.00,1.22,1.13,0.240,[Fe/H],63.0821000
HD 10975 b,HD 10975,1,1,Radial Velocity,2021,283.80000000,14.300,143.02278,Msini,0.442000,K0 III,4840.00,11.16,1.41,-0.210,[Fe/H],116.5060000
HD 110014 b,HD 110014,1,1,Radial Velocity,2009,835.47700000,12.400,3524.59000,Msini,0.462000,K2 III,4445.00,20.90,2.17,0.190,[Fe/H],100.7580000
HD 110082 b,HD 110082,2,1,Transit,2021,10.18271000,3.200,10.30000,M-R relationship,0.200000,F8 V,6200.00,1.19,1.21,0.080,[Fe/H],105.0960000
HD 110113 b,HD 110113,1,2,Transit,2021,2.54100000,2.050,4.55000,Mass,0.093000,G,5732.00,0.97,1.00,0.140,[Fe/H],106.3070000
HD 110113 c,HD 110113,1,2,Radial Velocity,2021,6.74400000,3.230,10.50000,Msini,0.045000,G,5732.00,0.97,1.00,0.140,[Fe/H],106.3070000
HD 111232 b,HD 111232,1,1,Radial Velocity,2003,1143.00000000,12.700,2269.30620,Msini,0.200000,G5 V,5512.00,0.90,0.84,-0.430,[Fe/H],28.9571000
HD 111591 b,HD 111591,1,1,Radial Velocity,2017,1056.40000000,12.900,1398.45200,Msini,0.260000,K0 III,4884.00,8.03,1.94,0.070,[Fe/H],114.1660000
HD 111998 b,HD 111998,1,1,Radial Velocity,2016,825.90000000,12.900,1433.41330,Msini,0.030000,F5 V,6557.00,1.45,1.18,0.070,[Fe/H],33.2237000
HD 112640 b,HD 112640,1,1,Radial Velocity,2020,613.20000000,12.900,1589.15000,Msini,0.240000,K0 III,4155.00,39.00,1.80,-0.090,[Fe/H],323.3350000
HD 113337 b,HD 113337,1,1,Radial Velocity,2013,324.00000000,13.200,899.42000,Msini,0.460000,F6 V,6576.60,1.50,1.40,0.070,[Fe/H],36.1800000
HD 113538 b,HD 113538,1,2,Radial Velocity,2010,663.20000000,13.200,114.41000,Msini,0.140000,K9 V,4462.00,0.53,0.58,-0.240,[Fe/H],16.2817000
HD 113538 c,HD 113538,1,2,Radial Velocity,2010,1818.00000000,13.800,295.57000,Msini,0.200000,K9 V,4462.00,0.53,0.58,-0.240,[Fe/H],16.2817000
HD 113996 b,HD 113996,2,1,Radial Velocity,2017,610.20000000,12.700,2002.32900,Msini,0.280000,K5 III,4181.00,25.11,1.49,0.130,[Fe/H],116.3340000
HD 114386 b,HD 114386,1,1,Radial Velocity,2003,937.70001000,13.700,362.32620,Msini,0.230000,K3V,4836.00,0.76,0.60,-0.050,[Fe/H],27.9243000
HD 114613 b,HD 114613,1,1,Radial Velocity,2014,4000.00000000,13.100,113.46531,Msini,0.458000,G4 IV,5641.00,2.14,1.27,0.180,[Fe/H],20.2836000
HD 114729 b,HD 114729,2,1,Radial Velocity,2002,1121.79000000,13.900,262.20975,Msini,0.079000,G0 V,5844.00,1.47,0.94,-0.330,[Fe/H],37.8063000
HD 114762 b,HD 114762,2,1,Radial Velocity,1989,83.91510000,12.440,3397.60270,Msini,0.340000,F8,5869.00,1.20,0.80,-0.720,[Fe/H],40.1949000
HD 114783 b,HD 114783,1,2,Radial Velocity,2001,493.70000000,13.700,349.60000,Msini,0.144000,K0,5135.00,0.84,0.85,0.210,[Fe/H],21.0628000
HD 114783 c,HD 114783,1,2,Radial Velocity,2018,4319.00000000,14.100,194.19413,Msini,0.000000,K1V,5126.74,0.84,0.85,0.151,[Fe/H],21.0628000
HD 11506 b,HD 11506,1,2,Radial Velocity,2007,1622.10000000,12.900,1535.11890,Msini,0.374300,G0 V,6030.00,1.34,1.24,0.340,[Fe/H],51.2610000
HD 11506 c,HD 11506,1,2,Radial Velocity,2008,223.41000000,14.200,129.67464,Msini,0.193000,G0 V,6030.00,1.34,1.24,0.340,[Fe/H],51.2610000
HD 115954 b,HD 115954,1,1,Radial Velocity,2021,3700.00000000,12.600,2634.79749,Msini,0.487000,G0 V,5957.00,1.21,1.18,0.340,[Fe/H],87.6437000
HD 116029 b,HD 116029,2,2,Radial Velocity,2011,670.00000000,13.600,444.96200,Msini,0.000000,K0,4819.00,4.89,0.83,0.090,[Fe/H],123.2450000
HD 116029 c,HD 116029,2,2,Radial Velocity,2018,907.00000000,13.700,403.64410,Msini,0.038000,K0,4951.00,4.60,1.33,0.180,[Fe/H],123.2450000
HD 117207 b,HD 117207,1,1,Radial Velocity,2004,2621.75000000,13.400,612.14058,Msini,0.157000,G8 IV/V,5732.00,1.07,1.05,0.190,[Fe/H],32.3547000
HD 11755 b,HD 11755,1,1,Radial Velocity,2015,433.70001000,12.800,1789.38290,Msini,0.190000,G5,4312.00,20.58,0.72,-0.740,[Fe/H],235.0450000
HD 117618 b,HD 117618,1,1,Radial Velocity,2004,25.80000000,8.590,55.30242,Msini,0.150000,G2 V,5990.00,1.20,1.08,0.028,[M/H],37.7781000
HD 118203 b,HD 118203,1,1,Radial Velocity,2005,6.13350000,13.200,886.74570,Msini,0.310000,K0,5864.00,2.06,1.84,0.230,[Fe/H],92.2589000
HD 11964 b,HD 11964,2,2,Radial Velocity,2005,1945.00000000,14.100,198.00000,Msini,0.041000,G9 V CN+1,5303.00,2.01,0.91,0.100,[M/H],33.5369000
HD 11964 c,HD 11964,2,2,Radial Velocity,2008,37.91000000,5.380,25.00000,Msini,0.300000,G9 V CN+1,5303.00,2.01,0.91,0.100,[M/H],33.5369000
HD 11977 b,HD 11977,1,1,Radial Velocity,2005,711.00000000,12.700,2080.00000,Msini,0.400000,G8 III/IV,4970.00,10.09,1.91,-0.210,[Fe/H],67.9331000
HD 120084 b,HD 120084,1,1,Radial Velocity,2013,2082.00000000,12.900,1430.20000,Msini,0.660000,G7 III,4892.00,9.12,2.39,0.090,[Fe/H],103.0440000
HD 121504 b,HD 121504,1,1,Radial Velocity,2003,63.33000000,13.600,479.92330,Msini,0.030000,G2 V,6027.00,1.07,1.62,0.150,[Fe/H],41.6592000
HD 124330 b,HD 124330,1,1,Radial Velocity,2021,270.66000000,14.000,238.37131,Msini,0.340000,G4 IV,5873.00,1.30,1.15,0.220,[Fe/H],60.1977000
HD 12484 b,HD 12484,1,1,Radial Velocity,2016,58.83000000,13.200,947.13340,Msini,0.070000,F8,5920.00,1.00,1.01,0.050,[Fe/H],48.3367000
HD 125390 b,HD 125390,1,1,Radial Velocity,2019,1756.20000000,12.000,7043.11280,Msini,0.591000,G7 V,4850.00,6.47,1.36,-0.010,[M/H],153.6470000
HD 125595 b,HD 125595,1,1,Radial Velocity,2009,9.67370000,2.400,6.35660,Msini,0.000000,K4 V,4691.00,0.74,0.29,0.080,[Fe/H],28.1989000
HD 125612 b,HD 125612,2,3,Radial Velocity,2007,557.04000000,13.100,985.27300,Msini,0.455300,G3 V,5841.00,1.05,1.11,0.220,[Fe/H],57.6207000
HD 125612 c,HD 125612,2,3,Radial Velocity,2009,4.15514000,4.360,17.48065,Msini,0.049000,G3 V,5841.00,1.05,1.11,0.220,[Fe/H],57.6207000
HD 125612 d,HD 125612,2,3,Radial Velocity,2009,2835.00000000,12.600,2313.80240,Msini,0.117200,G3 V,5841.00,1.05,1.11,0.220,[Fe/H],57.6207000
HD 12648 b,HD 12648,1,1,Radial Velocity,2015,133.60001000,13.400,622.94680,Msini,0.040000,G5,4835.00,11.02,0.67,-0.570,[Fe/H],182.1920000
HD 126525 b,HD 126525,1,1,Radial Velocity,2018,960.41000000,10.300,75.32571,Msini,0.035000,G4 V,5638.00,0.98,0.90,-0.100,[Fe/H],37.6506000
HD 12661 b,HD 12661,1,2,Radial Velocity,2000,262.70862000,13.300,772.32690,Msini,0.380000,K0,5645.00,1.20,1.20,0.360,[Fe/H],37.8478000
HD 12661 c,HD 12661,1,2,Radial Velocity,2002,1708.00000000,13.400,575.88400,Msini,0.031000,K0,5748.00,1.11,1.02,0.360,[Fe/H],37.8478000
HD 126614 b,HD 126614,3,1,Radial Velocity,2009,1244.00000000,14.200,130.31030,Msini,0.410000,G8 IV,5568.00,1.32,1.26,0.540,[Fe/H],73.0961000
HD 128311 b,HD 128311,1,2,Radial Velocity,2002,453.01900000,13.500,562.24127,Msini,0.303000,K0,4965.00,0.76,0.83,0.080,[Fe/H],16.3292000
HD 128311 c,HD 128311,1,2,Radial Velocity,2005,921.53800000,13.000,1204.25787,Mass,0.159000,K0,4965.00,0.76,0.83,0.080,[Fe/H],16.3292000
HD 128356 b,HD 128356,1,1,Radial Velocity,2016,298.20000000,13.900,282.86870,Msini,0.570000,K3 V,4875.00,0.85,0.65,0.170,[Fe/H],26.1548000
HD 129445 b,HD 129445,1,1,Radial Velocity,2009,1840.00000000,13.500,508.50700,Msini,0.700000,G6 V,5605.00,1.18,0.99,0.250,[Fe/H],67.4386000
HD 130322 b,HD 130322,1,1,Radial Velocity,1999,10.70871000,13.700,365.49000,Msini,0.029000,K0 V,5387.00,0.85,0.92,-0.020,[Fe/H],31.8766000
HD 131496 b,HD 131496,1,1,Radial Velocity,2011,896.00000000,13.400,572.09400,Msini,0.181000,K0,4846.00,4.44,1.34,0.250,[Fe/H],131.8490000
HD 131664 b,HD 131664,1,1,Radial Velocity,2008,1951.00000000,12.100,6076.90960,Msini,0.640000,G3 V,5892.00,1.08,1.19,0.300,[Fe/H],52.8128000
HD 13167 b,HD 13167,1,1,Radial Velocity,2018,2613.00000000,13.100,1052.01730,Msini,0.563000,G3 V,5671.00,2.39,1.35,0.190,[M/H],148.9340000
HD 13189 b,HD 13189,1,1,Radial Velocity,2005,471.60001000,12.400,3480.23850,Msini,0.270000,K2,4175.00,38.41,2.24,-0.370,[Fe/H],497.8230000
HD 132406 b,HD 132406,1,1,Radial Velocity,2007,974.00000000,12.800,1709.92540,Msini,0.340000,G0,5783.00,1.34,1.03,0.140,[Fe/H],70.7832000
HD 132563 b,HD 132563,3,1,Radial Velocity,2011,1544.00000000,13.600,473.54700,Msini,0.220000,F8,6289.00,1.30,1.23,-0.060,[Fe/H],105.1550000
HD 133131 A b,HD 133131 A,2,3,Radial Velocity,2016,649.00000000,13.600,451.31860,Msini,0.330000,G2 V,5799.00,0.96,0.95,-0.306,[Fe/H],51.4736000
HD 133131 A c,HD 133131 A,2,3,Radial Velocity,2016,3568.00000000,14.300,133.48860,Msini,0.490000,G2 V,5799.00,0.96,0.95,-0.306,[Fe/H],51.4736000
HD 133131 B b,HD 133131 B,2,3,Radial Velocity,2016,5769.00000000,13.300,794.57500,Msini,0.610000,G2 V,5805.00,0.99,0.93,-0.281,[Fe/H],51.2993000
HD 134060 b,HD 134060,1,2,Radial Velocity,2019,3.26960000,3.160,10.10000,Msini,0.450000,G3 IV,5966.00,1.16,1.09,0.140,[Fe/H],24.0125000
HD 134060 c,HD 134060,1,2,Radial Velocity,2019,1291.56460000,5.910,29.29000,Msini,0.110000,G3 IV,5966.00,1.16,1.09,0.140,[Fe/H],24.0125000
HD 134987 b,HD 134987,1,2,Radial Velocity,1999,258.17999000,13.500,511.70630,Msini,0.230000,G5 V,5736.00,1.22,1.10,0.280,[Fe/H],26.1804000
HD 134987 c,HD 134987,1,2,Radial Velocity,2009,5000.00000000,13.900,260.00000,Msini,0.120000,G5 V,5585.00,1.25,1.10,0.280,[Fe/H],26.1804000
HD 136352 b,HD 136352,1,3,Radial Velocity,2019,11.57797000,1.664,4.72000,Mass,0.000000,G4 V,5664.00,1.06,0.87,-0.240,[M/H],14.6820000
HD 136352 c,HD 136352,1,3,Radial Velocity,2019,27.59221000,2.916,11.24000,Mass,0.000000,G4 V,5664.00,1.06,0.87,-0.240,[M/H],14.6820000
